Feature,Importance
Bwd Packet Length Mean,0.07297893204934838
Bwd Packet Length Std,0.0647383848002456
Bwd Packet Length Max,0.061802500107721266
Avg Bwd Segment Size,0.061647698592288525
Packet Length Variance,0.06032001797864826
Packet Length Std,0.051842185994986606
Avg Packet Size,0.047469252136400575
Bwd Packets Length Total,0.04042355677837083
Packet Length Max,0.037269800020225556
Bwd Packet Length Min,0.03719509328458468
Packet Length Mean,0.03424405132265975
Total Fwd Packets,0.032329846481745673
Fwd Header Length,0.0216034115665798
Subflow Fwd Packets,0.021281497256389073
Init Bwd Win Bytes,0.02006839315059878
Bwd Packets/s,0.019966695887612906
Fwd Packet Length Max,0.018716090856252796
Fwd Packet Length Min,0.018474883736677283
Subflow Bwd Bytes,0.018100224527083753
Init Fwd Win Bytes,0.015111554232271037
Subflow Bwd Packets,0.014996753742940959
Flow IAT Std,0.01421480059091267
Fwd Packets Length Total,0.013885750758604053
Fwd Packet Length Mean,0.012741655153426382
Bwd Header Length,0.012053478015668827
Total Backward Packets,0.011370582689669879
Fwd IAT Mean,0.01010930745306549
Fwd IAT Std,0.010033171635822877
Flow IAT Max,0.009077358916216364
Avg Fwd Segment Size,0.008634995854002757
Fwd IAT Min,0.008211718012646751
Flow IAT Mean,0.0078042339084144615
Flow Duration,0.007627902531754348
Fwd IAT Max,0.007461949666607688
Subflow Fwd Bytes,0.007205968650196851
Protocol,0.006797072986311266
Packet Length Min,0.00611339725674072
Fwd IAT Total,0.005825976136304469
Fwd Act Data Packets,0.005636960493980201
Bwd IAT Std,0.004911277210139352
Bwd IAT Total,0.004901486035684797
Flow Packets/s,0.004508162497271948
Fwd Packet Length Std,0.004287823497595261
Active Min,0.004166433662067319
Flow IAT Min,0.003769352519394622
Fwd Packets/s,0.003303269204488998
FIN Flag Count,0.0032499276531998953
Fwd Seg Size Min,0.0029583065431844522
URG Flag Count,0.0029336486314815494
Bwd IAT Mean,0.002739557297737833
Idle Min,0.0026824155437650938
Bwd IAT Max,0.0025374560873850627
Flow Bytes/s,0.0021436407050797915
Active Max,0.0019818580312461094
ACK Flag Count,0.001976851024818077
Idle Max,0.0019003068275804489
Bwd IAT Min,0.001873388262386025
PSH Flag Count,0.0018276443041654316
Idle Mean,0.0016555078659050639
Active Mean,0.0014828520251042039
Active Std,0.0010577931101856829
Down/Up Ratio,0.0005603704692915403
SYN Flag Count,0.00048824037598165334
Fwd PSH Flags,0.0004363943510607821
Idle Std,0.0002779282165730875
Fwd URG Flags,4.779429425430156e-07
CWE Flag Count,3.4726576654083584e-07
RST Flag Count,1.0131467874687875e-07
ECE Flag Count,7.630985978747272e-08
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
